年,月,最高気温の平均(℃)
2003 ,1 ,9.3 
2003 ,2 ,9.9 
2003 ,3 ,12.7 
2003 ,4 ,19.2 
2003 ,5 ,22.4 
2003 ,6 ,26.6 
2003 ,7 ,26.0 
2003 ,8 ,29.5 
2003 ,9 ,28.1 
2003 ,10 ,21.4 
2003 ,11 ,17.4 
2003 ,12 ,13.2 
2004 ,1 ,10.1 
2004 ,2 ,12.9 
2004 ,3 ,14.0 
2004 ,4 ,21.3 
2004 ,5 ,23.7 
2004 ,6 ,27.5 
2004 ,7 ,33.1 
2004 ,8 ,31.0 
2004 ,9 ,28.7 
2004 ,10 ,20.7 
2004 ,11 ,19.0 
2004 ,12 ,13.4 
2005 ,1 ,10.0 
2005 ,2 ,9.9 
2005 ,3 ,13.1 
2005 ,4 ,19.6 
2005 ,5 ,21.9 
2005 ,6 ,26.7 
2005 ,7 ,29.1 
2005 ,8 ,31.8 
2005 ,9 ,28.2 
2005 ,10 ,22.3 
2005 ,11 ,17.0 
2005 ,12 ,10.2 
2006 ,1 ,8.5 
2006 ,2 ,10.5 
2006 ,3 ,14.0 
2006 ,4 ,17.5 
2006 ,5 ,22.7 
2006 ,6 ,25.4 
2006 ,7 ,28.6 
2006 ,8 ,31.1 
2006 ,9 ,27.1 
2006 ,10 ,22.9 
2006 ,11 ,17.9 
2006 ,12 ,12.5 
2007 ,1 ,10.9 
2007 ,2 ,12.8 
2007 ,3 ,15.0 
2007 ,4 ,17.9 
2007 ,5 ,24.0 
2007 ,6 ,27.1 
2007 ,7 ,27.4 
2007 ,8 ,33.0 
2007 ,9 ,28.5 
2007 ,10 ,22.2 
2007 ,11 ,16.6 
2007 ,12 ,12.6 
2008 ,1 ,9.4 
2008 ,2 ,9.6 
2008 ,3 ,14.9 
2008 ,4 ,18.4 
2008 ,5 ,22.0 
2008 ,6 ,24.6 
2008 ,7 ,30.9 
2008 ,8 ,30.7 
2008 ,9 ,27.7 
2008 ,10 ,22.6 
2008 ,11 ,16.4 
2008 ,12 ,13.7 
2009 ,1 ,10.2 
2009 ,2 ,11.5 
2009 ,3 ,13.7 
2009 ,4 ,20.2 
2009 ,5 ,23.6 
2009 ,6 ,25.8 
2009 ,7 ,29.3 
2009 ,8 ,30.1 
2009 ,9 ,26.5 
2009 ,10 ,22.3 
2009 ,11 ,17.0 
2009 ,12 ,12.4 
2010 ,1 ,11.0 
2010 ,2 ,9.9 
2010 ,3 ,13.2 
2010 ,4 ,16.6 
2010 ,5 ,23.0 
2010 ,6 ,27.5 
2010 ,7 ,31.6 
2010 ,8 ,33.5 
2010 ,9 ,29.0 
2010 ,10 ,21.8 
2010 ,11 ,17.2 
2010 ,12 ,13.7 
2011 ,1 ,9.1 
2011 ,2 ,11.2 
2011 ,3 ,12.3 
2011 ,4 ,18.9 
2011 ,5 ,22.2 
2011 ,6 ,26.0 
2011 ,7 ,30.9 
2011 ,8 ,31.2 
2011 ,9 ,28.8 
2011 ,10 ,23.0 
2011 ,11 ,18.3 
2011 ,12 ,11.1 
2012 ,1 ,8.3 
2012 ,2 ,9.1 
2012 ,3 ,12.5 
2012 ,4 ,18.5 
2012 ,5 ,23.6 
2012 ,6 ,24.8 
2012 ,7 ,30.1 
2012 ,8 ,33.1 
2012 ,9 ,29.8 
2012 ,10 ,23.0 
2012 ,11 ,16.3 
2012 ,12 ,11.2 
